stock_company,stock_item,code,market,recommended_date,recommended_price,prev_close,devidend_rate,reference
유안타,LG에너지솔루션,-373220,KOSPI 종합,2023.5.31,"580,000","599,000",3.28%,대형주
유안타,두산,-150,KOSPI 종합,2023.5.31,"98,000","97,300",-0.71%,대형주
유안타,제이시스메디칼,-287410,KOSDAQ 종합,2023.5.31,"8,840","9,100",2.94%,중소형주
유안타,현대리바트,-79430,KOSPI 종합,2023.5.31,"7,870","8,110",3.05%,중소형주
유안타,대동,-490,KOSPI 종합,2023.5.31,"11,690","11,750",0.51%,중소형주
삼성,SK하이닉스,-660,KOSPI 종합,2023.5.30,"109,200","108,600",-0.55%,추천종목
하나증권,삼성전자,-5930,KOSPI 종합,2023.5.30,"70,300","71,400",1.56%,단기 투자유망종목
하나증권,LG에너지솔루션,-373220,KOSPI 종합,2023.5.30,"578,000","599,000",3.63%,단기 투자유망종목
하나증권,기아,-270,KOSPI 종합,2023.5.30,"87,400","85,900",-1.72%,단기 투자유망종목
하나증권,SK이노베이션,-96770,KOSPI 종합,2023.5.30,"182,800","189,100",3.45%,단기 투자유망종목
하나증권,한국전력,-15760,KOSPI 종합,2023.5.30,"18,470","19,080",3.30%,단기 투자유망종목
하나증권,SK텔레콤,-17670,KOSPI 종합,2023.5.30,"49,600","49,700",0.20%,단기 투자유망종목
하나증권,LG이노텍,-11070,KOSPI 종합,2023.5.30,"289,000","307,000",6.23%,단기 투자유망종목
하나증권,유한양행,-100,KOSPI 종합,2023.5.30,"59,500","59,300",-0.34%,단기 투자유망종목
하나증권,LX하우시스,-108670,KOSPI 종합,2023.5.30,"43,950","43,000",-2.16%,단기 투자유망종목
하나증권,브이원텍,-251630,KOSDAQ 종합,2023.5.30,"11,500","12,300",6.96%,단기 투자유망종목
하나증권,포스코퓨처엠,-3670,KOSPI 종합,2023.5.30,"324,000","350,000",8.02%,중장기 투자유망종목
키움,SK아이이테크놀로지,-361610,KOSPI 종합,2023.5.26,"89,700","88,600",-1.23%,대형주 포트폴리오
키움,씨에스윈드,-112610,KOSPI 종합,2023.5.26,"78,600","79,000",0.51%,대형주 포트폴리오
키움,효성첨단소재,-298050,KOSPI 종합,2023.5.26,"451,000","446,500",-1.00%,대형주 포트폴리오
키움,솔브레인,-357780,KOSDAQ 종합,2023.5.26,"235,500","230,500",-2.12%,대형주 포트폴리오
키움,네오위즈,-95660,KOSDAQ 종합,2023.5.26,"45,700","49,950",9.30%,대형주 포트폴리오
키움,바이오니아,-64550,KOSDAQ 종합,2023.5.26,"51,700","53,500",3.48%,중소형주 포트폴리오
키움,비에이치,-90460,KOSDAQ 종합,2023.5.26,"24,500","25,100",2.45%,중소형주 포트폴리오
